Road,Stuttgart,Muenchen,Berlin,Potsdam,Bremen,Hamburg,Wiesbaden,Schwerin,Hannover,Duesseldorf,Mainz,Saarbruecken,Dresden,Magdeburg,Kiel,Erfurt
Stuttgart,,262,634,613,632,668,222,758,526,414,214,225,510,578,766,340
Muenchen,,,583,562,748,772,422,752,631,610,423,438,459,528,871,404
Berlin,,,,31,393,290,571,214,286,558,573,723,193,148,357,301
Potsdam,,,,,373,283,543,204,266,539,544,694,211,127,350,282
Bremen,,,,,,126,468,229,135,291,468,555,475,257,212,336
Hamburg,,,,,,,517,109,161,402,518,668,475,277,100,359
Wiesbaden,,,,,,,,620,378,204,13,158,489,447,616,283
Schwerin,,,,,,,,,262,507,621,770,401,204,150,475
Hannover,,,,,,,,,,280,377,529,367,146,256,254
Duesseldorf,,,,,,,,,,,214,295,581,418,491,414
Mainz,,,,,,,,,,,,146,488,448,616,284
Saarbruecken,,,,,,,,,,,,,638,600,767,446
Dresden,,,,,,,,,,,,,,237,568,217
Magdeburg,,,,,,,,,,,,,,,380,246
Kiel,,,,,,,,,,,,,,,,458
Erfurt,,,,,,,,,,,,,,,,
